name	electrode_name	type	units	sampling_frequency	reference	channel_id	contact_id	stream_id	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	low_cutoff	high_cutoff	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_id	coordinates_x	coordinates_y	gain
chan82_s1	82	LFP	uV	1000	ref1	87	82.0	1	../../../sourcedata/i140703-001.ns2	3	18	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	23.0	0.8	0.8	5000
chan83_s1	83	LFP	uV	1000	ref1	88	83.0	1	../../../sourcedata/i140703-001.ns2	3	19	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	3.0	0.8	0.0	5000
chan84_s1	84	LFP	uV	1000	ref1	89	84.0	1	../../../sourcedata/i140703-001.ns2	3	20	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	13.0	0.8	0.4	5000
chan85_s1	85	LFP	uV	1000	ref1	90	85.0	1	../../../sourcedata/i140703-001.ns2	3	21	250	3	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	4.0	1.2	0.0	5000
chan86_s1	86	LFP	uV	1000	ref1	91	86.0	1	../../../sourcedata/i140703-001.ns2	3	22	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	14.0	1.2	0.4	5000
chan87_s1	87	LFP	uV	1000	ref1	92	87.0	1	../../../sourcedata/i140703-001.ns2	3	23	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	15.0	1.6	0.4	5000
chan88_s1	88	LFP	uV	1000	ref1	93	88.0	1	../../../sourcedata/i140703-001.ns2	3	24	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	5.0	1.6	0.0	5000
chan89_s1	89	LFP	uV	1000	ref1	94	89.0	1	../../../sourcedata/i140703-001.ns2	3	25	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	16.0	2.0	0.4	5000
chan90_s1	90	LFP	uV	1000	ref1	95	90.0	1	../../../sourcedata/i140703-001.ns2	3	26	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	6.0	2.0	0.0	5000
chan91_s1	91	LFP	uV	1000	ref1	96	91.0	1	../../../sourcedata/i140703-001.ns2	3	27	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	17.0	2.4	0.4	5000
