onset	duration	trial_type	stim_file	stim_file_index
150.9349	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
151.4372	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	90
151.9392	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
152.4415	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	102
152.9439	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
153.4459	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	86
153.9482	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
154.4502	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	67
154.9525	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
155.4549	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	71
155.9569	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
156.4592	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	147
156.9612	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
157.4636	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	97
157.9656	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
158.4679	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	207
158.9702	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
159.4722	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	142
159.9746	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
160.4766	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	125
160.9789	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
161.4809	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	150
161.9832	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
162.4856	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	107
162.9876	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
163.4899	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	44
163.9919	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
164.4943	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	168
164.9963	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
165.4986	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	45
166.0009	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
166.5029	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	15
167.0053	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
167.5073	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	184
168.0096	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
168.5119	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	202
169.0139	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
169.5163	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	138
170.0183	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
170.5206	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	76
171.0226	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
171.525	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	140
172.0273	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
172.5293	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	180
173.0316	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
173.5336	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	25
174.036	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
174.538	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	132
175.0403	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
175.5426	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	52
176.0446	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
176.547	0.5	6	stimuli/sub-01_task-visual_run-01_stimuli.mat	164
177.049	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
177.5513	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	199
178.0536	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
178.5556	0.5	5	stimuli/sub-01_task-visual_run-01_stimuli.mat	141
179.058	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
179.56	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	203
180.0623	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
180.5643	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	91
181.0667	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
181.569	0.5	4	stimuli/sub-01_task-visual_run-01_stimuli.mat	120
182.071	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
182.5733	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	186
183.0753	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
183.5777	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	61
184.0797	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
184.582	0.5	7	stimuli/sub-01_task-visual_run-01_stimuli.mat	205
185.0844	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
185.5863	0.5	2	stimuli/sub-01_task-visual_run-01_stimuli.mat	33
186.0887	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
186.5907	0.5	1	stimuli/sub-01_task-visual_run-01_stimuli.mat	1
187.093	0.5	8	stimuli/sub-01_task-visual_run-01_stimuli.mat	211
187.595	0.5	3	stimuli/sub-01_task-visual_run-01_stimuli.mat	88
