name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
MEG 1843	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1842	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1841	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1912	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1913	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1911	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1923	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1922	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1921	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1932	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1933	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1931	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 1943	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1942	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 1941	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 2013	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 2012	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 2011	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 2023	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 2022	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 2021	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
MEG 2032	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 2033	MEGGRADPLANAR	T/m	0.10000000149011612	172.17630004882812	Planar Gradiometer	600.614990234375	good	n/a
MEG 2031	MEGMAG	T	0.10000000149011612	172.17630004882812	Magnetometer	600.614990234375	good	n/a
