onset	duration	sample	event_type	face_type	rep_status	trial	rep_lag	value	stim_file
293.548	n/a	73387	right_press	n/a	n/a	85	n/a	4096	n/a
293.9425454545	n/a	73485	show_circle	n/a	n/a	85	n/a	0	circle.bmp
295.6425454545	n/a	73910	show_cross	n/a	n/a	86	n/a	1	cross.bmp
296.108	n/a	74027	show_face	scrambled_face	delayed_repeat	86	10	19	s031.bmp
297.0907272727	n/a	74272	show_circle	n/a	n/a	86	n/a	0	circle.bmp
298.7907272727	n/a	74697	show_cross	n/a	n/a	87	n/a	1	cross.bmp
299.3489090909	n/a	74837	show_face	unfamiliar_face	first_show	87	n/a	13	u099.bmp
300.31163636360003	n/a	75077	right_press	n/a	n/a	87	n/a	4096	n/a
300.3561818182	n/a	75089	show_circle	n/a	n/a	87	n/a	0	circle.bmp
302.0561818182	n/a	75514	show_cross	n/a	n/a	88	n/a	1	cross.bmp
302.5561818182	n/a	75639	show_face	unfamiliar_face	immediate_repeat	88	1	14	u099.bmp
303.4189090909	n/a	75854	show_circle	n/a	n/a	88	n/a	0	circle.bmp
303.4652727273	n/a	75866	right_press	n/a	n/a	88	n/a	4096	n/a
305.1189090909	n/a	76279	show_cross	n/a	n/a	89	n/a	1	cross.bmp
305.6798181818	n/a	76419	show_face	scrambled_face	delayed_repeat	89	11	19	s021.bmp
306.5734545455	n/a	76643	show_circle	n/a	n/a	89	n/a	0	circle.bmp
308.2734545455	n/a	77068	show_cross	n/a	n/a	90	n/a	1	cross.bmp
308.8034545455	n/a	77200	show_face	famous_face	first_show	90	n/a	5	f024.bmp
309.6943636364	n/a	77423	show_circle	n/a	n/a	90	n/a	0	circle.bmp
311.3943636364	n/a	77848	show_cross	n/a	n/a	91	n/a	1	cross.bmp
311.9107272727	n/a	77977	show_face	famous_face	immediate_repeat	91	1	6	f024.bmp
312.7861818182	n/a	78196	show_circle	n/a	n/a	91	n/a	0	circle.bmp
314.4861818182	n/a	78621	show_cross	n/a	n/a	92	n/a	1	cross.bmp
315.018	n/a	78754	show_face	unfamiliar_face	delayed_repeat	92	12	15	u063.bmp
315.8734545455	n/a	78968	show_circle	n/a	n/a	92	n/a	0	circle.bmp
317.5734545455	n/a	79393	show_cross	n/a	n/a	93	n/a	1	cross.bmp
318.1089090909	n/a	79527	show_face	unfamiliar_face	first_show	93	n/a	13	u056.bmp
318.6334545455	n/a	79658	left_press	n/a	n/a	93	n/a	256	n/a
318.99254545450003	n/a	79748	show_circle	n/a	n/a	93	n/a	0	circle.bmp
320.6925454545	n/a	80173	show_cross	n/a	n/a	94	n/a	1	cross.bmp
321.3325454545	n/a	80333	show_face	unfamiliar_face	immediate_repeat	94	1	14	u056.bmp
321.9716363636	n/a	80492	left_press	n/a	n/a	94	n/a	256	n/a
322.1970909091	n/a	80549	show_circle	n/a	n/a	94	n/a	0	circle.bmp
323.8970909091	n/a	80974	show_cross	n/a	n/a	95	n/a	1	cross.bmp
324.5234545455	n/a	81130	show_face	unfamiliar_face	delayed_repeat	95	14	15	u149.bmp
325.1670909091	n/a	81291	right_press	n/a	n/a	95	n/a	4096	n/a
325.4398181818	n/a	81359	show_circle	n/a	n/a	95	n/a	0	circle.bmp
327.1398181818	n/a	81784	show_cross	n/a	n/a	96	n/a	1	cross.bmp
327.7643636364	n/a	81941	show_face	scrambled_face	first_show	96	n/a	17	s066.bmp
328.3352727273	n/a	82083	right_press	n/a	n/a	96	n/a	4096	n/a
328.778	n/a	82194	show_circle	n/a	n/a	96	n/a	0	circle.bmp
330.478	n/a	82619	show_cross	n/a	n/a	97	n/a	1	cross.bmp
330.988	n/a	82747	show_face	scrambled_face	immediate_repeat	97	1	18	s066.bmp
331.9534545455	n/a	82988	show_circle	n/a	n/a	97	n/a	0	circle.bmp
333.6534545455	n/a	83413	show_cross	n/a	n/a	98	n/a	1	cross.bmp
